crop,season,year_range,production,start_date,end_date
Rice,Kharif,2013-2014,914.97,01-01-2013,31-12-2013
Rice,Kharif,2014-2015,913.92,01-01-2014,31-12-2014
Rice,Kharif,2015-2016,914.13,01-01-2015,31-12-2015
Rice,Kharif,2016-2017,963.03,01-01-2016,31-12-2016
Rice,Kharif,2017-2018,971.35,01-01-2017,31-12-2017
Rice,Kharif,2018-2019,1020.4,01-01-2018,31-12-2018
Rice,Kharif,2019-2020,1022.77,01-01-2019,31-12-2019
Rice,Kharif,2020-2021,1052.08,01-01-2020,31-12-2020
Rice,Kharif,2021-2022,1110.01,01-01-2021,31-12-2021
Rice,Kharif,2022-2023,1105.12,01-01-2022,31-12-2022
Rice,Kharif,2023-2024,1132.59,01-01-2023,31-12-2023
Rice,Rabi,2013-2014,151.49,01-01-2013,31-12-2013
Rice,Rabi,2014-2015,140.91,01-01-2014,31-12-2014
Rice,Rabi,2015-2016,129.95,01-01-2015,31-12-2015
Rice,Rabi,2016-2017,133.96,01-01-2016,31-12-2016
Rice,Rabi,2017-2018,156.22,01-01-2017,31-12-2017
Rice,Rabi,2018-2019,144.38,01-01-2018,31-12-2018
Rice,Rabi,2019-2020,165.94,01-01-2019,31-12-2019
Rice,Rabi,2020-2021,191.6,01-01-2020,31-12-2020
Rice,Rabi,2021-2022,184.71,01-01-2021,31-12-2021
Rice,Rabi,2022-2023,150.04,01-01-2022,31-12-2022
Rice,Rabi,2023-2024,146.01,01-01-2023,31-12-2023
Rice,Summer,2013-2014,0,01-01-2013,31-12-2013
Rice,Summer,2014-2015,0,01-01-2014,31-12-2014
Rice,Summer,2015-2016,0,01-01-2015,31-12-2015
Rice,Summer,2016-2017,0,01-01-2016,31-12-2016
Rice,Summer,2017-2018,0,01-01-2017,31-12-2017
Rice,Summer,2018-2019,0,01-01-2018,31-12-2018
Rice,Summer,2019-2020,0,01-01-2019,31-12-2019
Rice,Summer,2020-2021,0,01-01-2020,31-12-2020
Rice,Summer,2021-2022,0,01-01-2021,31-12-2021
Rice,Summer,2022-2023,102.4,01-01-2022,31-12-2022
Rice,Summer,2023-2024,99.65,01-01-2023,31-12-2023
Wheat,Rabi,2013-2014,958.5,01-01-2013,31-12-2013
Wheat,Rabi,2014-2015,865.27,01-01-2014,31-12-2014
Wheat,Rabi,2015-2016,922.88,01-01-2015,31-12-2015
Wheat,Rabi,2016-2017,985.1,01-01-2016,31-12-2016
Wheat,Rabi,2017-2018,998.7,01-01-2017,31-12-2017
Wheat,Rabi,2018-2019,1035.96,01-01-2018,31-12-2018
Wheat,Rabi,2019-2020,1078.61,01-01-2019,31-12-2019
Wheat,Rabi,2020-2021,1095.86,01-01-2020,31-12-2020
Wheat,Rabi,2021-2022,1077.42,01-01-2021,31-12-2021
Wheat,Rabi,2022-2023,1105.54,01-01-2022,31-12-2022
Wheat,Rabi,2023-2024,1132.92,01-01-2023,31-12-2023
Maize,Kharif,2013-2014,171.45,01-01-2013,31-12-2013
Maize,Kharif,2014-2015,170.14,01-01-2014,31-12-2014
Maize,Kharif,2015-2016,160.53,01-01-2015,31-12-2015
Maize,Kharif,2016-2017,189.19,01-01-2016,31-12-2016
Maize,Kharif,2017-2018,201.18,01-01-2017,31-12-2017
Maize,Kharif,2018-2019,194.14,01-01-2018,31-12-2018
Maize,Kharif,2019-2020,194.29,01-01-2019,31-12-2019
Maize,Kharif,2020-2021,215.55,01-01-2020,31-12-2020
Maize,Kharif,2021-2022,226.81,01-01-2021,31-12-2021
Maize,Kharif,2022-2023,236.74,01-01-2022,31-12-2022
Maize,Kharif,2023-2024,222.45,01-01-2023,31-12-2023
Maize,Rabi,2013-2014,71.14,01-01-2013,31-12-2013
Maize,Rabi,2014-2015,71.59,01-01-2014,31-12-2014
Maize,Rabi,2015-2016,65.14,01-01-2015,31-12-2015
Maize,Rabi,2016-2017,69.81,01-01-2016,31-12-2016
Maize,Rabi,2017-2018,86.34,01-01-2017,31-12-2017
Maize,Rabi,2018-2019,83.02,01-01-2018,31-12-2018
Maize,Rabi,2019-2020,93.37,01-01-2019,31-12-2019
Maize,Rabi,2020-2021,100.92,01-01-2020,31-12-2020
Maize,Rabi,2021-2022,110.49,01-01-2021,31-12-2021
Maize,Rabi,2022-2023,116.9,01-01-2022,31-12-2022
Maize,Rabi,2023-2024,120.28,01-01-2023,31-12-2023
Maize,Summer,2013-2014,0,01-01-2013,31-12-2013
Maize,Summer,2014-2015,0,01-01-2014,31-12-2014
Maize,Summer,2015-2016,0,01-01-2015,31-12-2015
Maize,Summer,2016-2017,0,01-01-2016,31-12-2016
Maize,Summer,2017-2018,0,01-01-2017,31-12-2017
Maize,Summer,2018-2019,0,01-01-2018,31-12-2018
Maize,Summer,2019-2020,0,01-01-2019,31-12-2019
Maize,Summer,2020-2021,0,01-01-2020,31-12-2020
Maize,Summer,2021-2022,0,01-01-2021,31-12-2021
Maize,Summer,2022-2023,27.21,01-01-2022,31-12-2022
Maize,Summer,2023-2024,33.92,01-01-2023,31-12-2023
Barley,Rabi,2013-2014,18.31,01-01-2013,31-12-2013
Barley,Rabi,2014-2015,16.13,01-01-2014,31-12-2014
Barley,Rabi,2015-2016,14.38,01-01-2015,31-12-2015
Barley,Rabi,2016-2017,17.47,01-01-2016,31-12-2016
Barley,Rabi,2017-2018,17.81,01-01-2017,31-12-2017
Barley,Rabi,2018-2019,16.33,01-01-2018,31-12-2018
Barley,Rabi,2019-2020,17.22,01-01-2019,31-12-2019
Barley,Rabi,2020-2021,16.56,01-01-2020,31-12-2020
Barley,Rabi,2021-2022,13.71,01-01-2021,31-12-2021
Barley,Rabi,2022-2023,19.13,01-01-2022,31-12-2022
Barley,Rabi,2023-2024,16.99,01-01-2023,31-12-2023
Jowar,Kharif,2013-2014,23.93,01-01-2013,31-12-2013
Jowar,Kharif,2014-2015,23,01-01-2014,31-12-2014
Jowar,Kharif,2015-2016,18.16,01-01-2015,31-12-2015
Jowar,Kharif,2016-2017,19.64,01-01-2016,31-12-2016
Jowar,Kharif,2017-2018,22.74,01-01-2017,31-12-2017
Jowar,Kharif,2018-2019,17.35,01-01-2018,31-12-2018
Jowar,Kharif,2019-2020,16.97,01-01-2019,31-12-2019
Jowar,Kharif,2020-2021,19.86,01-01-2020,31-12-2020
Jowar,Kharif,2021-2022,15.98,01-01-2021,31-12-2021
Jowar,Kharif,2022-2023,14.8,01-01-2022,31-12-2022
Jowar,Kharif,2023-2024,15.09,01-01-2023,31-12-2023
Jowar,Rabi,2013-2014,31.49,01-01-2013,31-12-2013
Jowar,Rabi,2014-2015,31.45,01-01-2014,31-12-2014
Jowar,Rabi,2015-2016,24.22,01-01-2015,31-12-2015
Jowar,Rabi,2016-2017,26.04,01-01-2016,31-12-2016
Jowar,Rabi,2017-2018,25.3,01-01-2017,31-12-2017
Jowar,Rabi,2018-2019,17.4,01-01-2018,31-12-2018
Jowar,Rabi,2019-2020,30.75,01-01-2019,31-12-2019
Jowar,Rabi,2020-2021,28.26,01-01-2020,31-12-2020
Jowar,Rabi,2021-2022,25.52,01-01-2021,31-12-2021
Jowar,Rabi,2022-2023,23.22,01-01-2022,31-12-2022
Jowar,Rabi,2023-2024,31.89,01-01-2023,31-12-2023
Jowar,Summer,2013-2014,0,01-01-2013,31-12-2013
Jowar,Summer,2014-2015,0,01-01-2014,31-12-2014
Jowar,Summer,2015-2016,0,01-01-2015,31-12-2015
Jowar,Summer,2016-2017,0,01-01-2016,31-12-2016
Jowar,Summer,2017-2018,0,01-01-2017,31-12-2017
Jowar,Summer,2018-2019,0,01-01-2018,31-12-2018
Jowar,Summer,2019-2020,0,01-01-2019,31-12-2019
Jowar,Summer,2020-2021,0,01-01-2020,31-12-2020
Jowar,Summer,2021-2022,0,01-01-2021,31-12-2021
Jowar,Summer,2022-2023,0.13,01-01-2022,31-12-2022
Jowar,Summer,2023-2024,0.4,01-01-2023,31-12-2023
Bajra,Kharif,2013-2014,77.09,01-01-2013,31-12-2013
Bajra,Kharif,2014-2015,91.84,01-01-2014,31-12-2014
Bajra,Kharif,2015-2016,80.67,01-01-2015,31-12-2015
Bajra,Kharif,2016-2017,97.3,01-01-2016,31-12-2016
Bajra,Kharif,2017-2018,92.09,01-01-2017,31-12-2017
Bajra,Kharif,2018-2019,86.64,01-01-2018,31-12-2018
Bajra,Kharif,2019-2020,103.63,01-01-2019,31-12-2019
Bajra,Kharif,2020-2021,108.63,01-01-2020,31-12-2020
Bajra,Kharif,2021-2022,97.81,01-01-2021,31-12-2021
Bajra,Kharif,2022-2023,103.49,01-01-2022,31-12-2022
Bajra,Kharif,2023-2024,96.63,01-01-2023,31-12-2023
Bajra,Summer,2013-2014,0,01-01-2013,31-12-2013
Bajra,Summer,2014-2015,0,01-01-2014,31-12-2014
Bajra,Summer,2015-2016,0,01-01-2015,31-12-2015
Bajra,Summer,2016-2017,0,01-01-2016,31-12-2016
Bajra,Summer,2017-2018,0,01-01-2017,31-12-2017
Bajra,Summer,2018-2019,0,01-01-2018,31-12-2018
Bajra,Summer,2019-2020,0,01-01-2019,31-12-2019
Bajra,Summer,2020-2021,0,01-01-2020,31-12-2020
Bajra,Summer,2021-2022,0,01-01-2021,31-12-2021
Bajra,Summer,2022-2023,10.82,01-01-2022,31-12-2022
Bajra,Summer,2023-2024,10.53,01-01-2023,31-12-2023
Ragi,Kharif,2013-2014,19.83,01-01-2013,31-12-2013
Ragi,Kharif,2014-2015,20.61,01-01-2014,31-12-2014
Ragi,Kharif,2015-2016,18.22,01-01-2015,31-12-2015
Ragi,Kharif,2016-2017,13.85,01-01-2016,31-12-2016
Ragi,Kharif,2017-2018,19.85,01-01-2017,31-12-2017
Ragi,Kharif,2018-2019,12.39,01-01-2018,31-12-2018
Ragi,Kharif,2019-2020,17.55,01-01-2019,31-12-2019
Ragi,Kharif,2020-2021,19.98,01-01-2020,31-12-2020
Ragi,Kharif,2021-2022,17.01,01-01-2021,31-12-2021
Ragi,Kharif,2022-2023,16.91,01-01-2022,31-12-2022
Ragi,Kharif,2023-2024,16.7,01-01-2023,31-12-2023
Small Millets,Kharif,2013-2014,4.3,01-01-2013,31-12-2013
Small Millets,Kharif,2014-2015,3.86,01-01-2014,31-12-2014
Small Millets,Kharif,2015-2016,3.91,01-01-2015,31-12-2015
Small Millets,Kharif,2016-2017,4.42,01-01-2016,31-12-2016
Small Millets,Kharif,2017-2018,4.39,01-01-2017,31-12-2017
Small Millets,Kharif,2018-2019,3.33,01-01-2018,31-12-2018
Small Millets,Kharif,2019-2020,3.71,01-01-2019,31-12-2019
Small Millets,Kharif,2020-2021,3.47,01-01-2020,31-12-2020
Small Millets,Kharif,2021-2022,3.67,01-01-2021,31-12-2021
Small Millets,Kharif,2022-2023,3.84,01-01-2022,31-12-2022
Small Millets,Kharif,2023-2024,4.49,01-01-2023,31-12-2023
Shree Anna /Nutri Cereals,Kharif,2013-2014,125.15,01-01-2013,31-12-2013
Shree Anna /Nutri Cereals,Kharif,2014-2015,139.31,01-01-2014,31-12-2014
Shree Anna /Nutri Cereals,Kharif,2015-2016,120.96,01-01-2015,31-12-2015
Shree Anna /Nutri Cereals,Kharif,2016-2017,135.21,01-01-2016,31-12-2016
Shree Anna /Nutri Cereals,Kharif,2017-2018,139.07,01-01-2017,31-12-2017
Shree Anna /Nutri Cereals,Kharif,2018-2019,119.71,01-01-2018,31-12-2018
Shree Anna /Nutri Cereals,Kharif,2019-2020,141.85,01-01-2019,31-12-2019
Shree Anna /Nutri Cereals,Kharif,2020-2021,151.95,01-01-2020,31-12-2020
Shree Anna /Nutri Cereals,Kharif,2021-2022,134.47,01-01-2021,31-12-2021
Shree Anna /Nutri Cereals,Kharif,2022-2023,139.04,01-01-2022,31-12-2022
Shree Anna /Nutri Cereals,Kharif,2023-2024,132.9,01-01-2023,31-12-2023
Shree Anna /Nutri Cereals,Rabi,2013-2014,31.49,01-01-2013,31-12-2013
Shree Anna /Nutri Cereals,Rabi,2014-2015,31.45,01-01-2014,31-12-2014
Shree Anna /Nutri Cereals,Rabi,2015-2016,24.22,01-01-2015,31-12-2015
Shree Anna /Nutri Cereals,Rabi,2016-2017,26.04,01-01-2016,31-12-2016
Shree Anna /Nutri Cereals,Rabi,2017-2018,25.3,01-01-2017,31-12-2017
Shree Anna /Nutri Cereals,Rabi,2018-2019,17.4,01-01-2018,31-12-2018
Shree Anna /Nutri Cereals,Rabi,2019-2020,30.75,01-01-2019,31-12-2019
Shree Anna /Nutri Cereals,Rabi,2020-2021,28.26,01-01-2020,31-12-2020
Shree Anna /Nutri Cereals,Rabi,2021-2022,25.52,01-01-2021,31-12-2021
Shree Anna /Nutri Cereals,Rabi,2022-2023,23.22,01-01-2022,31-12-2022
Shree Anna /Nutri Cereals,Rabi,2023-2024,31.89,01-01-2023,31-12-2023
Shree Anna /Nutri Cereals,Summer,2013-2014,0,01-01-2013,31-12-2013
Shree Anna /Nutri Cereals,Summer,2014-2015,0,01-01-2014,31-12-2014
Shree Anna /Nutri Cereals,Summer,2015-2016,0,01-01-2015,31-12-2015
Shree Anna /Nutri Cereals,Summer,2016-2017,0,01-01-2016,31-12-2016
Shree Anna /Nutri Cereals,Summer,2017-2018,0,01-01-2017,31-12-2017
Shree Anna /Nutri Cereals,Summer,2018-2019,0,01-01-2018,31-12-2018
Shree Anna /Nutri Cereals,Summer,2019-2020,0,01-01-2019,31-12-2019
Shree Anna /Nutri Cereals,Summer,2020-2021,0,01-01-2020,31-12-2020
Shree Anna /Nutri Cereals,Summer,2021-2022,0,01-01-2021,31-12-2021
Shree Anna /Nutri Cereals,Summer,2022-2023,10.95,01-01-2022,31-12-2022
Shree Anna /Nutri Cereals,Summer,2023-2024,10.93,01-01-2023,31-12-2023
Nutri/Coarse Cereals,Kharif,2013-2014,296.6,01-01-2013,31-12-2013
Nutri/Coarse Cereals,Kharif,2014-2015,309.45,01-01-2014,31-12-2014
Nutri/Coarse Cereals,Kharif,2015-2016,281.49,01-01-2015,31-12-2015
Nutri/Coarse Cereals,Kharif,2016-2017,324.4,01-01-2016,31-12-2016
Nutri/Coarse Cereals,Kharif,2017-2018,340.25,01-01-2017,31-12-2017
Nutri/Coarse Cereals,Kharif,2018-2019,313.84,01-01-2018,31-12-2018
Nutri/Coarse Cereals,Kharif,2019-2020,336.15,01-01-2019,31-12-2019
Nutri/Coarse Cereals,Kharif,2020-2021,367.5,01-01-2020,31-12-2020
Nutri/Coarse Cereals,Kharif,2021-2022,361.28,01-01-2021,31-12-2021
Nutri/Coarse Cereals,Kharif,2022-2023,375.78,01-01-2022,31-12-2022
