Crop,Season,Production,,,,,,,,,,
,,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Rice,Kharif,914.97,913.92,914.13,963.03,971.35,1020.4,1022.77,1052.08,1110.01,1105.12,1132.59
,Rabi,151.49,140.91,129.95,133.96,156.22,144.38,165.94,191.6,184.71,150.04,146.01
,Summer,@,@,@,@,@,@,@,@,@,102.4,99.65
,Total,1066.46,1054.82,1044.08,1096.98,1127.58,1164.78,1188.7,1243.68,1294.71,1357.55,1378.25
Wheat,Rabi,958.5,865.27,922.88,985.1,998.7,1035.96,1078.61,1095.86,1077.42,1105.54,1132.92
Maize,Kharif,171.45,170.14,160.53,189.19,201.18,194.14,194.29,215.55,226.81,236.74,222.45
,Rabi,71.14,71.59,65.14,69.81,86.34,83.02,93.37,100.92,110.49,116.9,120.28
,Summer,@,@,@,@,@,@,@,@,@,27.21,33.92
,Total,242.6,241.73,225.67,259,287.53,277.15,287.66,316.47,337.3,380.85,376.65
Barley,Rabi,18.31,16.13,14.38,17.47,17.81,16.33,17.22,16.56,13.71,19.13,16.99
Jowar,Kharif,23.93,23,18.16,19.64,22.74,17.35,16.97,19.86,15.98,14.8,15.09
,Rabi,31.49,31.45,24.22,26.04,25.3,17.4,30.75,28.26,25.52,23.22,31.89
,Summer,@,@,@,@,@,@,@,@,@,0.13,0.4
,Total,55.42,54.45,42.38,45.68,48.03,34.75,47.72,48.12,41.51,38.14,47.37
Bajra,Kharif,77.09,91.84,80.67,97.3,92.09,86.64,103.63,108.63,97.81,103.49,96.63
,Summer,$,$,$,$,$,$,$,$,$,10.82,10.53
,Total,77.09,91.84,80.67,97.3,92.09,86.64,103.63,108.63,97.81,114.31,107.16
Ragi,Kharif,19.83,20.61,18.22,13.85,19.85,12.39,17.55,19.98,17.01,16.91,16.7
Small Millets,Kharif,4.3,3.86,3.91,4.42,4.39,3.33,3.71,3.47,3.67,3.84,4.49
Shree Anna/Nutri Cereals,Kharif,125.15,139.31,120.96,135.21,139.07,119.71,141.85,151.95,134.47,139.04,132.9
,Rabi,31.49,31.45,24.22,26.04,25.3,17.4,30.75,28.26,25.52,23.22,31.89
,Summer,@,@,@,@,@,@,@,@,@,10.95,10.93
,Total,156.64,170.76,145.17,161.25,164.36,137.11,172.61,180.21,160,173.21,175.72
Nutri/Coarse Cereals,Kharif,296.6,309.45,281.49,324.4,340.25,313.84,336.15,367.5,361.28,375.78,355.35
